question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,choice_a,choice_b,gap1_correct,gap1_allow_repeat,gap2_correct,gap2_allow_repeat,gap3_correct,gap3_allow_repeat,gap4_correct,gap4_allow_repeat,gap5_correct,gap5_allow_repeat,explanation
AB_ITNIC_SHARESCH__001,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,saye|limits,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,1,"Under SAYE, monthly contributions are fixed between {gap1} and {gap2}.",2,£5,£500,A,N,B,N,,,,,,,SAYE contributions must be regular fixed sums between £5 and £500.
AB_ITNIC_SHARESCH__002,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,saye|term,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,2,SAYE savings contracts run for either {gap1} years or {gap2} years.,2,3,5,A,N,B,N,,,,,,,SAYE contract lengths are 3 years or 5 years.
AB_ITNIC_SHARESCH__003,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,saye|tax,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,3,"On SAYE grant and exercise, {gap1} and {gap2} are not charged.",2,IT,NICs,A,N,B,N,,,,,,,Your notes state no IT or NICs on SAYE grant or exercise.
AB_ITNIC_SHARESCH__004,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,saye|completion,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,4,"At SAYE completion, the employee may take {gap1} or use funds to buy employer/parent {gap2}.",2,shares,cash,B,N,A,N,,,,,,,"On completion, employees can take cash or acquire qualifying shares."
AB_ITNIC_SHARESCH__005,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,saye|disposal,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,5,"For SAYE-acquired shares, the disposal tax regime is {gap1} rather than {gap2}.",2,CGT,income tax,A,N,B,N,,,,,,,The notes specify CGT on sale for SAYE shares.
AB_ITNIC_SHARESCH__006,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|shares,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,6,"For CSOP, shares must be fully paid {gap1} shares, and grant price must be at least {gap2}.",2,market value,ordinary,B,N,A,N,,,,,,,CSOP requires fully paid ordinary shares and no discount to MV at grant.
AB_ITNIC_SHARESCH__007,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|eligibility,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,7,"CSOP options are {gap1}, and people who held over {gap2} of a close company in the prior 12 months are excluded.",2,not transferable,30%,A,N,B,N,,,,,,,"CSOP options cannot be transferred, and >30% close-company holders are excluded."
AB_ITNIC_SHARESCH__008,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|population,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,8,"CSOP can be offered to {gap1} employees/full-time directors (not all staff), with exercise allowed from year {gap2} onwards.",2,3,selected,B,N,A,N,,,,,,,CSOP is selective and options are exercised between 3 and 10 years.
AB_ITNIC_SHARESCH__009,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|window,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,9,CSOP exercise must occur between {gap1} and {gap2} years after grant.,2,10,3,B,N,A,N,,,,,,,CSOP options must be exercised within the 3–10 year window.
AB_ITNIC_SHARESCH__010,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|cap,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,10,"An employee CSOP grant is capped at {gap1}, and tax at grant/exercise is {gap2} for IT and NIC.",2,no charge,"£60,000",B,N,A,N,,,,,,,"CSOP employee limit is £60,000 and no IT/NIC on grant or exercise."
AB_ITNIC_SHARESCH__011,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,csop|disposal,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,11,"For CSOP shares, disposal is generally within {gap1}, while grant/exercise remains free from {gap2}.",2,CGT,IT/NIC,A,N,B,N,,,,,,,CSOP follows CGT on disposal; no IT/NIC at grant or exercise.
AB_ITNIC_SHARESCH__012,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|purpose,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,12,EMI is designed to help smaller higher-risk companies {gap1} and retain critical employees with key {gap2}.,2,skills,recruit,B,N,A,N,,,,,,,EMI supports recruitment/retention of critical talent in smaller higher-risk companies.
AB_ITNIC_SHARESCH__013,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|company,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,13,EMI company conditions include gross assets below {gap1} and fewer than {gap2} employees.,2,£30m,250,A,N,B,N,,,,,,,EMI company limits are gross assets <£30m and <250 employees.
AB_ITNIC_SHARESCH__014,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|company2,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,14,"For EMI, the company must have a permanent establishment in the {gap1} and must not be controlled by {gap2} company.",2,another,UK,B,N,A,N,,,,,,,EMI requires UK permanent establishment and independence from another controller.
AB_ITNIC_SHARESCH__015,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|employee,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,15,EMI working-time condition is at least {gap1} hours/week or at least {gap2} of working time.,2,25,75%,A,N,B,N,,,,,,,EMI employee time test is 25 hours or 75% of working time.
AB_ITNIC_SHARESCH__016,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|ownership,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,16,Employees owning above {gap1} ordinary shares are {gap2} from EMI participation.,2,excluded,30%,B,N,A,N,,,,,,,>30% ordinary share owners cannot qualify for EMI.
AB_ITNIC_SHARESCH__017,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|sharetype,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,17,"EMI shares must be fully paid irredeemable {gap1} shares and must not include restrictions tied to sale, forfeiture, or {gap2}.",2,ordinary,performance,A,N,B,N,,,,,,,"EMI share class must be unrestricted, fully paid, irredeemable ordinary shares."
AB_ITNIC_SHARESCH__018,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|limits,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,18,EMI individual limit is {gap1}; company-wide EMI grants are capped at {gap2}.,2,£3m,"£250,000",B,N,A,N,,,,,,,"Individual EMI cap is £250,000 and company aggregate cap is £3m."
AB_ITNIC_SHARESCH__019,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|interactions,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,19,"At the EMI limit, no more EMI can be granted for {gap1} years; {gap2} options reduce EMI capacity while SAYE does not.",2,three,CSOP,A,N,B,N,,,,,,,"EMI lockout is three years at limit; CSOP interacts with limit, SAYE does not."
AB_ITNIC_SHARESCH__020,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|targets,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,20,"For EMI, performance targets can be set at {gap1} and must be met before {gap2}.",2,exercise,grant,B,N,A,N,,,,,,,EMI permits grant-time targets that gate later exercise.
AB_ITNIC_SHARESCH__021,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|discount,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,21,"EMI usually has no IT/NIC at grant or exercise, except where shares are issued at a {gap1} to grant-date MV; then charge compares discount with MV at {gap2}.",2,discount,exercise,A,N,B,N,,,,,,,Discounted EMI awards can trigger tax at exercise based on lower of discount and exercise MV uplift.
AB_ITNIC_SHARESCH__022,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|nic|listed,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,22,"Where discounted EMI shares are taxed on exercise, NICs can arise if the company is {gap1}; disposal then falls into {gap2}.",2,CGT,listed,B,N,A,N,,,,,,,Your notes add NICs for listed company cases and CGT on disposal.
AB_ITNIC_SHARESCH__023,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,emi|badr,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,23,"EMI disposal note: there is {gap1} requirement to hold 5% for relief, and the 2-year period runs from {gap2} date.",2,no,grant,A,N,B,N,,,,,,,EMI notes state no 5% requirement and a 2-year clock from grant date.
AB_ITNIC_SHARESCH__024,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|structure,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,24,"A SIP uses a UK-resident {gap1} to buy and hold shares, unlike SAYE/CSOP/EMI where employees get {gap2}.",2,options,trust,B,N,A,N,,,,,,,"SIP is trust-based share holding, not an option grant model."
AB_ITNIC_SHARESCH__025,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|eligibility,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,25,"SIP must be offered to all {gap1} and {gap2} employees, with possible qualifying period up to 18 months.",2,FT,PT,A,N,B,N,,,,,,,SIP availability is broad: full-time and part-time employees.
AB_ITNIC_SHARESCH__026,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|company,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,26,"SIP shares must be fully paid irredeemable ordinary shares, and the company must not be {gap1} by another company; trust purchases may trigger {gap2}.",2,stamp duty,controlled,B,N,A,N,,,,,,,SIP requires qualifying shares and independence; trust acquisitions can incur stamp duty.
AB_ITNIC_SHARESCH__027,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|free,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,27,"Under SIP, free shares can be awarded up to {gap1} per year and may be differentiated to support {gap2}.",2,"£3,600",incentivisation,A,N,B,N,,,,,,,"Free SIP shares are capped at £3,600 with flexible allocation basis."
AB_ITNIC_SHARESCH__028,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|partnership,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,28,SIP partnership shares are bought from pre-tax salary up to the lower of {gap1} and {gap2} of salary.,2,10%,"£1,800",B,N,A,N,,,,,,,"Partnership share purchase cap is lower of £1,800 and 10% salary."
AB_ITNIC_SHARESCH__029,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|matching,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,29,SIP matching shares can be awarded at a maximum ratio of {gap1}:{gap2}.,2,2,1,A,N,B,N,,,,,,,Employer matching under SIP is capped at 2:1.
AB_ITNIC_SHARESCH__030,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|dividends,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,30,Dividends on SIP shares are tax-free if used to acquire {gap1} {gap2}.,2,shares,more,B,N,A,N,,,,,,,Reinvested SIP dividends can be tax-free when used for further share acquisition.
AB_ITNIC_SHARESCH__031,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|exit5,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,31,"When SIP shares remain in plan for over {gap1} years, withdrawal triggers {gap2} IT/NIC charge.",2,5,no,A,N,B,N,,,,,,,"After >5 years in SIP, withdrawal is free of IT/NIC."
AB_ITNIC_SHARESCH__032,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|exit3,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,32,"If SIP shares are removed within {gap1} years, IT/NIC is based on MV at {gap2}.",2,withdrawal,3,B,N,A,N,,,,,,,"Within 3 years, SIP withdrawal charge uses market value at withdrawal."
AB_ITNIC_SHARESCH__033,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,sip|exit35,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,33,"If SIP shares are removed between 3 and 5 years, IT/NIC uses the lower of MV at {gap1} and MV at {gap2}.",2,award,withdrawal,A,N,B,N,,,,,,,"For 3–5 year withdrawal, charge is based on the lower of award MV and withdrawal MV."
AB_ITNIC_SHARESCH__034,Income tax & NIC,reliefs,Employee share schemes,cloze_ab,3,0,Y,compare|tax,user_notes,1,SHARESCH,AB_ITNIC_SHARESCH__,34,"Across SAYE, CSOP, EMI and SIP, grant/exercise or award is generally free of {gap1} and {gap2}, subject to specific exceptions (e.g., discounted EMI).",2,NICs,IT,B,N,A,N,,,,,,,"Common pattern across schemes is no upfront IT/NIC, with specific carve-outs such as discounted EMI."
