question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,mcq_n,ab_n,list_n,pf_n
MCQ_ETH_DEF__001,Ethics,definitions,Fundamental principles,mcq_radio,3,0,Y,0,0,0,122,168,199,199
MCQ_ETH_DEF__002,Ethics,definitions,Fundamental principles,mcq_radio,3,0,Y,0,0,0,122,168,199,199
MCQ_ETH_DEF__003,Ethics,definitions,Fundamental principles,mcq_radio,3,0,Y,0,0,0,122,168,199,199
MCQ_ETH_DEF__004,Ethics,definitions,Fundamental principles,mcq_radio,3,0,Y,0,0,0,122,168,199,199
MCQ_ETH_DEF__005,Ethics,definitions,Fundamental principles,mcq_radio,3,0,Y,0,0,0,122,168,199,199
MCQ_ITNIC_REQ_EIS_001,Income tax & NIC,requirements,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
MCQ_ITNIC_CALC_EIS_001,Income tax & NIC,calculations,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
MCQ_ITNIC_T_EIS_001,Income tax & NIC,treatments,Tax efficient investments,mcq_radio,3,core,Y,eis;seis;vct,notes,1,122,168,199,199
MCQ_ITNIC_P_PSC_001,Income tax & NIC,planning,Personal service companies and IR35,mcq_radio,3,core,Y,psc;ir35;employment_status,notes,1,122,168,199,199
MCQ_ITNIC_T_PSC_001,Income tax & NIC,treatments,Personal service companies and IR35,mcq_radio,3,core,Y,ir35;small_entity;deemed_salary,notes,1,122,168,199,199
MCQ_ITNIC_REQ_PSC_001,Income tax & NIC,requirements,Personal service companies and IR35,mcq_radio,3,core,Y,ir35;sds;ddp;medium_large_entity,notes,1,122,168,199,199
MCQ_ITNIC_DEF_SHS_001,Income tax & NIC,definitions,Employee share schemes,mcq_radio,3,core,Y,saye;share_schemes,notes,1,122,168,199,199
MCQ_ITNIC_DEF_SHS_002,Income tax & NIC,definitions,Employee share schemes,mcq_radio,3,core,Y,csop;share_options,notes,1,122,168,199,199
MCQ_ITNIC_T_SHS_001,Income tax & NIC,treatments,Employee share schemes,mcq_radio,3,core,Y,emi;discount;nic,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_001,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_002,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_003,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_004,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_005,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;company_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_006,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;employee_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_007,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;employee_rules,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_008,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;share_conditions,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_009,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_010,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,122,168,199,199
MCQ_ITNIC_REQ_EMI_011,Income tax & NIC,requirements,Employee share schemes,mcq_radio,3,core,Y,emi;limits,notes,1,122,168,199,199
MCQ_ITNIC_P_EMI_001,Income tax & NIC,planning,Employee share schemes,mcq_radio,3,core,Y,emi;limits;interaction,notes,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_001,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_overseas,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_002,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_overseas,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_003,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|auto_uk,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_004,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,residency|ties,notes_user,1,122,168,199,199
MCQ_CGT_DEF_RESDOM_001,Capital gains,definitions,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,domicile|types,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_005,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|fukdr,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_006,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|long_term,notes_user,1,122,168,199,199
MCQ_CGT_REQ_RESDOM_007,Capital gains,requirements,"Residency, domicile and deemed domicile",mcq_radio,3,core,Y,deemed_domicile|april2017,notes_user,1,122,168,199,199
MCQ_CGT_P_SPLITYR_001,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|overview,notes_user,1,122,168,199,199
MCQ_CGT_P_SPLITYR_002,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving,notes_user,1,122,168,199,199
MCQ_CGT_P_SPLITYR_003,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving_spouse,notes_user,1,122,168,199,199
MCQ_CGT_P_SPLITYR_004,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|leaving_ties,notes_user,1,122,168,199,199
MCQ_CGT_REQ_SPLITYR_001,Capital gains,requirements,Split-year treatment,mcq_radio,3,core,Y,split_year|coming_home,notes_user,1,122,168,199,199
MCQ_CGT_REQ_SPLITYR_002,Capital gains,requirements,Split-year treatment,mcq_radio,3,core,Y,split_year|coming_work,notes_user,1,122,168,199,199
MCQ_CGT_P_SPLITYR_005,Capital gains,planning,Split-year treatment,mcq_radio,3,core,Y,split_year|returning,notes_user,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_001,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|deemed_domicile|overview,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_002,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|three_year,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_003,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|fukdi,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_004,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|residence_15_20,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_005,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|residence_1of4,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_006,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|comparison,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_007,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|fukdi|elements,image_notes,1,122,168,199,199
MCQ_IHT_REQ_DOMICILE_008,Inheritance tax,requirements,Deemed domicile (IHT vs CGT/IT),mcq_radio,3,core,Y,iht|trigger_time,image_notes,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_001,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;drawings,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_002,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;wages,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_003,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;capital,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_004,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;donations,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_005,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;medical,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_006,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;bad_debt,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_007,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;provision,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_008,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;entertaining,assistant_generated,1,122,168,199,199
MCQ_ITNIC_CALC_DISALLOW_009,Income tax & NIC,calculations,Disallowable trading expenses,mcq_radio,3,core,Y,disallowable;mixed_test,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_001,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;profit_motive,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_002,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;transactions,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_003,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;similar_transactions,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_004,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;interval,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_005,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;acquisition,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_006,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;purpose_recall,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_007,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;supplementary_work,assistant_generated,1,122,168,199,199
MCQ_ITNIC_DEF_BADGES_008,Income tax & NIC,definitions,Badges of trade,mcq_radio,3,core,Y,badges;finance,assistant_generated,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_001,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_002,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_003,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_004,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_005,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_006,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_007,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_008,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_009,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_010,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_011,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_012,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_013,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_014,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_015,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
MCQ_FR_FILE_TAXDEAD_016,Filing rules,filing_requirements,"Filing, payment and claims deadlines",mcq_radio,3,core,Y,deadlines;claims,user_supplied,1,122,168,199,199
